ID_ENTIDAD,NOM_ENTIDAD
01,Aguascalientes,
02,Baja California,
03,Baja California Sur,
04,Campeche,
05,Coahuila de Zaragoza,
06,Colima,
07,Chiapas,
08,Chihuahua,
09,Ciudad de M̩xico,
10,Durango,
11,Guanajuato,
12,Guerrero,
13,Hidalgo,
14,Jalisco,
15,Mexico,
16,Michoacan de Ocampo,
17,Morelos,
18,Nayarit,
19,Nuevo Leon,
20,Oaxaca,
21,Puebla,
22,Queretaro,
23,Quintana Roo,
24,San Luis Potosi,
25,Sinaloa,
26,Sonora,
27,Tabasco,
28,Tamaulipas,
29,Tlaxcala,
30,Veracruz de Ignacio de la Llave,
31,Yucatan,
32,Zacatecas,
